YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_ARR_1,DLY_APT_ARR_1,DLY_APT_ARR_A_1,DLY_APT_ARR_C_1,DLY_APT_ARR_D_1,DLY_APT_ARR_E_1,DLY_APT_ARR_G_1,DLY_APT_ARR_I_1,DLY_APT_ARR_M_1,DLY_APT_ARR_N_1,DLY_APT_ARR_O_1,DLY_APT_ARR_P_1,DLY_APT_ARR_R_1,DLY_APT_ARR_S_1,DLY_APT_ARR_T_1,DLY_APT_ARR_V_1,DLY_APT_ARR_W_1,DLY_APT_ARR_NA_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,ATFM_VERSION
2022,1,JAN,1-Jan-2022,LGKR,Corfu,Greece,3,,,,,,,,,,,,,,,,,,,,v2,Corfu (LGKR)
2022,1,JAN,1-Jan-2022,LTAC,Ankara/ Esenboğa,Turkey,66,,,,,,,,,,,,,,,,,,,,v2,Ankara/ Esenboğa (LTAC)
2022,1,JAN,1-Jan-2022,LSGG,Geneva,Switzerland,208,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,11,2,v2,Geneva (LSGG)
2022,1,JAN,1-Jan-2022,EDDF,Frankfurt,Germany,341,,,,,,,,,,,,,,,,,,,,v2,Frankfurt (EDDF)
2022,1,JAN,1-Jan-2022,LIBR,Brindisi,Italy,19,,,,,,,,,,,,,,,,,,,,v2,Brindisi (LIBR)
2022,1,JAN,1-Jan-2022,LEPA,Palma de Mallorca,Spain,123,,,,,,,,,,,,,,,,,,,,v2,Palma de Mallorca (LEPA)
2022,1,JAN,1-Jan-2022,LOWL,Linz,Austria,3,,,,,,,,,,,,,,,,,,,,v2,Linz (LOWL)
2022,1,JAN,1-Jan-2022,LFRK,Caen-Carpiquet,France,1,,,,,,,,,,,,,,,,,,,,v2,Caen-Carpiquet (LFRK)
2022,1,JAN,1-Jan-2022,LFRZ,Saint-Nazaire-Montoir,France,1,,,,,,,,,,,,,,,,,,,,v2,Saint-Nazaire-Montoir (LFRZ)
2022,1,JAN,1-Jan-2022,EDDK,Cologne-Bonn,Germany,54,,,,,,,,,,,,,,,,,,,,v2,Cologne-Bonn (EDDK)
2022,1,JAN,1-Jan-2022,EGKB,Biggin Hill,United Kingdom,15,,,,,,,,,,,,,,,,,,,,v2,Biggin Hill (EGKB)
2022,1,JAN,1-Jan-2022,LKPR,Prague,Czech Republic,74,,,,,,,,,,,,,,,,,,,,v2,Prague (LKPR)
2022,1,JAN,1-Jan-2022,EGAC,Belfast/City Airport,United Kingdom,13,,,,,,,,,,,,,,,,,,,,v2,Belfast/City Airport (EGAC)
2022,1,JAN,1-Jan-2022,LBSF,Sofia,Bulgaria,48,,,,,,,,,,,,,,,,,,,,v2,Sofia (LBSF)
